date,sunriseTime,sunsetTime,temperatureMin,temperatureMax,moonPhase,icon,summary
2015-01-01,12:28:13,21:57:55,25.9,44.02,0.39,clear-day,"Clear throughout the day."
2015-01-02,12:28:20,21:58:43,33.59,47.02,0.42,clear-day,"Clear throughout the day."
2015-01-03,12:28:25,21:59:32,31.93,40.46,0.45,rain,"Light rain until afternoon, starting again in the evening."
2015-01-04,12:28:28,22:00:23,40.64,63.88,0.48,rain,"Rain in the morning and evening."
2015-01-05,12:28:29,22:01:15,28.86,50.25,0.52,partly-cloudy-night,"Partly cloudy in the morning."
2015-01-06,12:28:28,22:02:09,23.14,30.54,0.55,snow,"Snow (1-2 in.) in the morning."
2015-01-07,12:28:24,22:03:03,15.16,27.11,0.58,wind,"Partly cloudy in the morning and breezy starting in the evening."
2015-01-08,12:28:19,22:04:00,10.73,25.12,0.61,clear-day,"Clear throughout the day."
2015-01-09,12:28:11,22:04:57,25.12,39.13,0.64,clear-day,"Clear throughout the day."
2015-01-10,12:28:01,22:05:55,18.41,28.38,0.67,clear-day,"Clear throughout the day."
2015-01-11,12:27:50,22:06:55,17.62,40.6,0.7,rain,"Light rain overnight."
2015-01-12,12:27:36,22:07:55,34.19,39.78,0.73,rain,"Rain throughout the day."
2015-01-13,12:27:20,22:08:57,27.45,40.27,0.76,partly-cloudy-night,"Mostly cloudy in the morning."
2015-01-14,12:27:02,22:09:59,25.69,31.81,0.79,partly-cloudy-night,"Partly cloudy in the morning."
2015-01-15,12:26:42,22:11:02,30.67,39.12,0.83,partly-cloudy-day,"Partly cloudy until evening."
2015-01-16,12:26:20,22:12:06,26.7,44.75,0.86,partly-cloudy-night,"Partly cloudy overnight."
2015-01-17,12:25:56,22:13:11,26.34,37.32,0.89,clear-day,"Clear throughout the day."
2015-01-18,12:25:30,22:14:17,33.91,42.97,0.93,rain,"Rain until afternoon."
2015-01-19,12:25:03,22:15:23,32.01,47.15,0.96,partly-cloudy-day,"Partly cloudy in the afternoon."
2015-01-20,12:24:33,22:16:29,28.87,47.26,0.01,partly-cloudy-day,"Partly cloudy in the morning."
2015-01-21,12:24:01,22:17:37,32.57,37.04,0.04,rain,"Light rain in the afternoon."
2015-01-22,12:23:27,22:18:45,33.13,45.84,0.08,partly-cloudy-day,"Partly cloudy in the afternoon."
2015-01-23,12:22:52,22:19:53,29.14,40.49,0.12,rain,"Rain starting in the evening."
2015-01-24,12:22:14,22:21:01,35.34,42.32,0.16,clear-day,"Clear throughout the day."
